Name,Nom_couran,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,TOTAL_ha
ERMILATE,,916.3678793962788,916.3678793962786,916.3678793962786,1490.2472401597688,1405.6614073214305,1405.6614073214307,1405.6614073214305,1405.6614073214305,1405.6614073214307,2358.487385375032,1955.9973911817845,1955.9973911817845,1955.997391181785,1955.997391181785,1955.9973911817845,5565.743866339483,6392.4201943078015,6392.4201943078015,6392.4201943078015,6392.4201943078015,6392.4201943078015,60933.97709411819
MOGRANE,,1176.4922671620327,1176.4922671620327,1176.4922671620327,1480.2538194670676,1450.3691355016256,1450.3691355016254,1450.3691355016256,1450.3691355016254,1450.3691355016256,1755.9359679025215,1653.6454309475646,1653.6454309475646,1653.6454309475646,1653.6454309475646,1653.6454309475646,2181.2702100521547,3635.840859886009,3635.840859886009,3635.840859886009,3635.840859886009,3635.8408598860083,42646.213930583835
AL HAOUAFATE,,314.16476808602135,314.1647680860213,314.16476808602135,448.49077413453347,293.31229358343387,325.01656572548063,325.0165657254807,325.0165657254807,325.0165657254807,809.3329708188763,676.9337856539497,679.7461264423206,679.7461264423206,679.7461264423206,679.7461264423206,4807.750637068601,4692.068184679339,4729.772731067458,4729.772731067458,4729.772731067458,4729.772731067458,35608.52464313784
OULAD HCINE,,552.6672550888837,552.6672550888837,552.6672550888837,436.1724602155379,219.50143603835159,923.4063515936522,923.406351593652,923.4063515936522,923.406351593652,444.6300765088968,266.3420367297124,525.0694273802036,525.0694273802036,525.0694273802036,525.0694273802036,3014.079193819496,2460.678852164414,3727.130864031253,3727.1308640312536,3727.1308640312536,3727.130864031253,29201.832392763496
AMEUR SEFLIA,,1903.614595984581,1903.6145959845808,1903.614595984581,1458.8328126247873,1100.606949417581,1100.606949417581,1100.606949417581,1100.606949417581,1100.606949417581,1034.0196811461683,1431.525998764038,1431.5259987640377,1431.5259987640377,1431.525998764038,1431.525998764038,971.7853435237386,1009.7342382448201,1009.7342382448202,1009.7342382448202,1009.7342382448202,1009.7342382448204,26884.817557380626
SIDI AL KAMEL,,455.0007587520343,455.0007587520343,455.0007587520344,705.0338712919349,599.226533326081,599.2265333260808,599.226533326081,599.226533326081,599.226533326081,733.3175703136849,651.7324665801642,651.7324665801642,651.7324665801642,651.7324665801642,651.7324665801642,1376.8041833387067,3027.7411817065067,3027.7411817065076,3027.741181706507,3027.741181706507,3027.7411817065076,25573.658809264194
AIN DFALI,,1115.944278976584,1115.944278976584,1115.944278976584,1309.6218139235195,581.3623720801259,1800.3259985574641,1800.3259985574641,1800.3259985574643,1800.3259985574641,1010.0708547949577,301.33436847590434,1056.9319467912023,1056.9319467912023,1056.9319467912023,1056.9319467912023,989.5833413776717,378.3527024615,1338.5814841006531,1338.5814841006531,1338.5814841006531,1338.5814841006531,24701.516007840713
SIDI AZZOUZ,,999.759640826966,999.7596408269665,999.7596408269662,699.972246144433,334.84478682155236,1286.9105877761303,1286.91058777613,1286.9105877761303,1286.9105877761301,539.8555733104392,204.95042241114,907.3341478829778,907.3341478829775,907.3341478829778,907.3341478829777,805.7998658420582,815.2493805163933,2180.100707488463,2180.100707488463,2180.100707488463,2180.100707488463,23897.332970117193
BEN MANSOUR,,767.1390145800061,767.1390145800061,767.1390145800061,1139.336818967381,1106.0648385748175,1106.0648385748175,1106.0648385748175,1106.0648385748175,1106.0648385748175,1180.9567615479236,901.4788808739155,901.4788808739155,901.4788808739157,901.4788808739155,901.4788808739155,1392.0792971331311,1081.9479616700055,1081.9479616700055,1081.9479616700057,1081.9479616700057,1081.9479616700053,21461.248326982142
BAHHARA OULAD AYAD,,667.6544746840412,667.6544746840412,667.6544746840412,925.7730343501071,897.1936085625382,897.1936085625384,897.1936085625384,897.1936085625384,897.1936085625382,1116.5339945470234,893.2953566215126,893.2953566215126,893.2953566215126,893.2953566215126,893.2953566215126,1491.3489054761342,1350.2600931818706,1350.2600931818704,1350.2600931818704,1350.2600931818706,1350.2600931818704,21240.364650254996
LAMRABIH,,923.4696429257262,923.469642925726,923.4696429257262,1291.7112227428124,434.0259447680545,1480.0606348921954,1480.0606348921954,1480.0606348921954,1480.0606348921954,768.0165509639846,233.5871303846771,707.3320675719258,707.3320675719258,707.3320675719258,707.3320675719258,1161.7007169851147,632.1101007706706,1277.6180000818108,1277.6180000818108,1277.618000081811,1277.6180000818108,21151.603405576217
AMEUR CHAMALIA,,774.7483741918707,774.7483741918708,774.7483741918707,900.6674966259405,663.2337729848347,663.2337729848347,663.2337729848347,663.2337729848347,663.2337729848348,865.1941504644295,829.0967642772479,829.096764277248,829.0967642772481,829.096764277248,829.096764277248,792.6273393502031,1577.5140025050746,1577.5140025050746,1577.5140025050746,1577.5140025050746,1577.5140025050746,20231.956807851977
KCEIBYA,,1815.790237025446,1815.7902370254458,1815.790237025446,1498.2813807215314,742.9529337579827,742.9529337579826,742.9529337579826,742.9529337579827,742.9529337579826,679.3013923657587,1042.728574775773,1042.728574775773,1042.728574775773,1042.7285747757733,1042.728574775773,657.6546838553157,539.0478740582396,539.0478740582395,539.0478740582395,539.0478740582395,539.0478740582396,19906.25508097892
