Name,Nom_couran,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,TOTAL_ha
MOGRANE,,1755.9359679025215,1653.6454309475644,1653.6454309475646,1653.6454309475646,1653.6454309475646,1653.6454309475644,2181.2702100521547,3635.8408598860083,3635.840859886009,3635.840859886009,3635.840859886009,3635.840859886009,16465.01833311107,14345.418069740539,14345.418069740539,14345.418069740543,14345.418069740539,14345.418069740539,15207.066986994663,15114.313304825475,15114.313304825479,15114.313304825475,15114.313304825475,15114.313304825479,11127.073466154958,10214.152376206186,10214.152376206184,10214.152376206184,10214.152376206186,10214.152376206184,10214.152376206186,281767.3675484504
ERMILATE,,2358.487385375032,1955.997391181785,1955.9973911817845,1955.997391181785,1955.9973911817845,1955.997391181785,5565.743866339483,6392.4201943078015,6392.4201943078015,6392.4201943078015,6392.4201943078015,6392.4201943078015,6662.214972159054,5141.756637647634,5141.756637647634,5141.756637647634,5141.756637647634,5141.756637647634,6012.211849533896,5906.818402456559,5906.818402456558,5906.818402456559,5906.818402456558,5906.818402456559,4033.382425541345,3581.9444907770016,3581.9444907770007,3581.9444907770007,3581.9444907770007,3581.9444907770007,3581.9444907770007,143108.6705715797
AL HAOUAFATE,,809.3329708188763,676.9337856539497,679.7461264423206,679.7461264423206,679.7461264423206,679.7461264423206,4807.7506370686,4692.068184679339,4729.772731067458,4729.772731067458,4729.772731067458,4729.772731067458,5086.3589195367795,3832.494826531013,3930.2413960215495,3930.2413960215486,3930.2413960215486,3930.2413960215486,4028.7014517999514,4063.8625209835873,4017.8738344186945,4017.8738344186945,4017.8738344186945,4017.8738344186945,2343.7694337889898,1763.1542553137451,1824.8949004156266,1824.8949004156261,1824.8949004156261,1824.8949004156261,1824.8949004156261,94659.4378400531
SIDI AL KAMEL,,733.3175703136849,651.7324665801641,651.7324665801641,651.7324665801642,651.7324665801642,651.7324665801642,1376.8041833387067,3027.7411817065076,3027.7411817065076,3027.7411817065076,3027.7411817065076,3027.7411817065076,5899.9588629962755,4979.99292700102,4979.99292700102,4979.99292700102,4979.992927001019,4979.992927001019,4399.997104327608,4294.648273518856,4294.6482735188565,4294.648273518856,4294.648273518856,4294.648273518856,2129.5323675921513,1821.4765882224053,1821.4765882224053,1821.4765882224046,1821.4765882224053,1821.4765882224053,1821.4765882224053,90239.04386193558
AMEUR SEFLIA,,1034.0196811461683,1431.5259987640377,1431.5259987640377,1431.5259987640377,1431.5259987640377,1431.5259987640377,971.7853435237387,1009.7342382448204,1009.7342382448202,1009.7342382448202,1009.7342382448204,1009.7342382448204,3669.6038901053503,3412.0688346392103,3412.0688346392103,3412.0688346392103,3412.0688346392103,3412.0688346392103,3518.2958224943654,3832.975208125119,3832.975208125119,3832.9752081251195,3832.9752081251195,3832.975208125119,3655.7552343265315,3011.385465361603,3011.3854653616036,3011.3854653616036,3011.3854653616036,3011.3854653616036,3011.3854653616036,79349.2941626317
AMEUR CHAMALIA,,865.1941504644295,829.096764277248,829.0967642772481,829.096764277248,829.096764277248,829.096764277248,792.6273393502032,1577.5140025050746,1577.5140025050746,1577.5140025050746,1577.5140025050746,1577.5140025050746,3599.6229052213566,3294.269774860074,3294.2697748600744,3294.2697748600744,3294.269774860074,3294.269774860074,3203.96964434198,2996.765526384828,2996.765526384828,2996.765526384828,2996.765526384828,2996.765526384828,2816.8461442041025,2294.0008430227485,2294.0008430227476,2294.000843022748,2294.000843022748,2294.000843022748,2294.000843022748,68530.49558185467
OULAD HCINE,,444.6300765088968,266.3420367297124,525.0694273802036,525.0694273802036,525.0694273802036,525.0694273802036,3014.079193819496,2372.84160155721,3727.130864031253,3727.1308640312536,3727.1308640312536,3727.1308640312536,3215.556466981034,2478.636390858597,3429.005701330244,3429.005701330244,3429.005701330244,3429.005701330244,2193.303845553577,2042.3565763063084,2080.70449901147,2080.7044990114696,2080.70449901147,2080.7044990114696,1194.5417090549245,625.6788606871243,1350.0713413307462,1350.0713413307462,1350.0713413307462,1350.0713413307462,1350.0713413307462,63645.96543172328
BEN MANSOUR,,1180.9567615479236,901.4788808739155,901.4788808739155,901.4788808739155,901.4788808739155,901.4788808739155,1392.079297133131,1081.9479616700055,1081.9479616700055,1081.9479616700057,1081.9479616700057,1081.9479616700057,2212.714311812721,1798.7203682365268,1798.7203682365268,1798.7203682365268,1798.7203682365268,1798.7203682365268,3149.4435553917388,3107.1556189172243,3107.1556189172243,3107.1556189172243,3107.1556189172243,3107.1556189172243,3631.0772712647095,2863.0324036973184,2863.032403697319,2863.032403697319,2863.032403697319,2863.0324036973193,2863.032403697319,63190.97976782249
SEFSAF,,270.26936906606636,263.0439457337503,263.0439457337503,263.04394573375026,263.04394573375026,263.04394573375026,1868.9384975924029,2595.436245186982,2595.436245186982,2595.436245186982,2595.436245186982,2595.4362451869824,3154.5504631250487,2449.946124409359,2449.946124409359,2449.946124409359,2449.946124409359,2449.946124409359,2530.400587328395,2537.8382062715295,2537.8382062715295,2537.8382062715295,2537.8382062715295,2537.8382062715295,1536.167280413256,1125.0918899580533,1125.0918899580533,1125.0918899580533,1125.0918899580533,1125.0918899580533,1125.0918899580533,55342.20014528158
BAHHARA OULAD AYAD,,1116.5339945470234,893.2953566215126,893.2953566215124,893.2953566215126,893.2953566215126,893.2953566215126,1491.3489054761344,1350.2600931818704,1350.2600931818704,1350.2600931818704,1350.2600931818704,1350.2600931818706,2147.9863245980296,1525.691929065863,1525.691929065863,1525.691929065863,1525.691929065863,1525.691929065863,2322.675404866883,2435.407336577196,2435.407336577196,2435.4073365771965,2435.407336577196,2435.4073365771965,2627.942800789317,2175.2072861728443,2175.2072861728443,2175.2072861728448,2175.2072861728448,2175.2072861728443,2175.2072861728443,53781.00472454666
