Date,Al_Wahda_niveau_m,Al_Wahda_capacite_pct,Idriss_1_niveau_m,Idriss_1_capacite_pct,Al_Fassi_niveau_m,Al_Fassi_capacite_pct,Alganzra_niveau_m,Alganzra_capacite_pct,Oued_Tin_niveau_m,Oued_Tin_capacite_pct
2025-01-01,312.5,85.2,275.3,72.5,198.7,68.9,145.2,91.3,89.5,45.6
2025-01-02,313.1,86.0,276.0,73.2,199.2,69.5,145.8,92.1,90.1,46.2
2025-01-03,313.8,86.8,276.5,73.8,199.8,70.2,146.2,92.8,90.8,47.0
2025-01-04,314.2,87.2,277.0,74.3,200.1,70.6,146.5,93.2,91.2,47.5
2025-01-05,314.8,87.8,277.8,75.0,200.6,71.2,147.0,93.8,91.8,48.2
2025-01-06,315.2,88.2,278.2,75.5,201.0,71.7,147.3,94.2,92.3,48.8
2025-01-07,315.5,88.5,278.5,75.8,201.3,72.0,147.5,94.5,92.6,49.2
2025-01-08,315.8,88.8,278.8,76.2,201.6,72.4,147.7,94.7,92.9,49.6
2025-01-09,316.0,89.0,279.0,76.5,201.8,72.6,147.9,94.9,93.1,49.9
2025-01-10,316.2,89.2,279.2,76.8,202.0,72.9,148.0,95.0,93.3,50.1
2025-01-11,316.3,89.3,279.3,76.9,202.1,73.0,148.1,95.1,93.4,50.3
2025-01-12,316.1,89.1,279.1,76.7,201.9,72.8,147.9,94.9,93.2,50.0
2025-01-13,315.9,88.9,278.9,76.4,201.7,72.5,147.7,94.7,93.0,49.7
2025-01-14,315.6,88.6,278.6,76.0,201.4,72.2,147.5,94.5,92.7,49.4
2025-01-15,315.3,88.3,278.3,75.7,201.1,71.8,147.2,94.2,92.4,49.0
